fecha,producto,cantidad,precio_costo,precio_venta
2023-01,agua_500ml,1200,1400,2000
2023-01,agua_2l,800,2700,3900
2023-01,agua_5l,400,6000,8500
2023-01,agua_20l,200,9000,13000
2023-02,agua_500ml,1224,1420,2036
2023-02,agua_2l,816,2740,3970
2023-02,agua_5l,408,6089,8653
2023-02,agua_20l,204,9135,13234
2023-03,agua_500ml,1248,1442,2072
2023-03,agua_2l,832,2781,4040
2023-03,agua_5l,416,6180,8806
2023-03,agua_20l,208,9270,13468
2023-04,agua_500ml,1272,1463,2108
2023-04,agua_2l,848,2821,4110
2023-04,agua_5l,424,6270,8959
2023-04,agua_20l,212,9405,13702
2023-05,agua_500ml,1296,1484,2144
2023-05,agua_2l,864,2862,4180
2023-05,agua_5l,432,6360,9112
2023-05,agua_20l,216,9540,13936
2023-06,agua_500ml,1320,1505,2180
2023-06,agua_2l,880,2902,4251
2023-06,agua_5l,440,6450,9265
2023-06,agua_20l,220,9675,14170
2023-07,agua_500ml,1344,1526,2216
2023-07,agua_2l,896,2943,4321
2023-07,agua_5l,448,6540,9418
2023-07,agua_20l,224,9810,14404
2023-08,agua_500ml,1368,1547,2252
2023-08,agua_2l,912,2983,4391
2023-08,agua_5l,456,6630,9570
2023-08,agua_20l,228,9945,14637
2023-09,agua_500ml,1392,1568,2288
2023-09,agua_2l,927,3024,4461
2023-09,agua_5l,463,6720,9724
2023-09,agua_20l,231,10080,14871
2023-10,agua_500ml,1416,1589,2324
2023-10,agua_2l,944,3064,4531
2023-10,agua_5l,472,6810,9877
2023-10,agua_20l,236,10215,15105
2023-11,agua_500ml,1440,1609,2360
2023-11,agua_2l,960,3104,4602
2023-11,agua_5l,480,6899,10030
2023-11,agua_20l,240,10350,15340
2023-12,agua_500ml,1464,1631,2396
2023-12,agua_2l,976,3145,4672
2023-12,agua_5l,488,6990,10183
2023-12,agua_20l,244,10485,15574
2024-01,agua_500ml,1488,1652,2432
2024-01,agua_2l,992,3186,4742
2024-01,agua_5l,496,7080,10336
2024-01,agua_20l,248,10620,15808
2024-02,agua_500ml,1512,1673,2468
2024-02,agua_2l,1008,3226,4812
2024-02,agua_5l,504,7170,10489
2024-02,agua_20l,252,10755,16042
2024-03,agua_500ml,1536,1694,2504
2024-03,agua_2l,1024,3267,4882
2024-03,agua_5l,512,7260,10642
2024-03,agua_20l,256,10890,16276
2024-04,agua_500ml,1560,1715,2540
2024-04,agua_2l,1040,3307,4953
2024-04,agua_5l,520,7350,10795
2024-04,agua_20l,260,11025,16510
2024-05,agua_500ml,1584,1736,2576
2024-05,agua_2l,1056,3348,5023
2024-05,agua_5l,528,7440,10948
2024-05,agua_20l,264,11160,16744
2024-06,agua_500ml,1608,1756,2612
2024-06,agua_2l,1072,3388,5093
2024-06,agua_5l,536,7529,11101
2024-06,agua_20l,268,11294,16978
2024-07,agua_500ml,1631,1778,2647
2024-07,agua_2l,1088,3429,5163
2024-07,agua_5l,544,7620,11253
2024-07,agua_20l,272,11430,17211
2024-08,agua_500ml,1655,1799,2684
2024-08,agua_2l,1104,3469,5233
2024-08,agua_5l,552,7709,11407
2024-08,agua_20l,276,11565,17446
2024-09,agua_500ml,1680,1820,2719
2024-09,agua_2l,1120,3510,5303
2024-09,agua_5l,560,7800,11559
2024-09,agua_20l,280,11700,17680
2024-10,agua_500ml,1704,1841,2756
2024-10,agua_2l,1136,3550,5374
2024-10,agua_5l,568,7890,11712
2024-10,agua_20l,284,11835,17914
2024-11,agua_500ml,1728,1862,2792
2024-11,agua_2l,1152,3591,5444
2024-11,agua_5l,576,7980,11866
2024-11,agua_20l,288,11970,18148
2024-12,agua_500ml,1752,1883,2828
2024-12,agua_2l,1168,3631,5514
2024-12,agua_5l,584,8070,12019
2024-12,agua_20l,292,12105,18382
2025-01,agua_500ml,1776,1903,2864
2025-01,agua_2l,1184,3671,5584
2025-01,agua_5l,592,8159,12172
2025-01,agua_20l,296,12239,18616
2025-02,agua_500ml,1800,1925,2900
2025-02,agua_2l,1200,3712,5655
2025-02,agua_5l,600,8250,12325
2025-02,agua_20l,300,12375,18850
2025-03,agua_500ml,1824,1946,2936
2025-03,agua_2l,1216,3753,5725
2025-03,agua_5l,608,8340,12478
2025-03,agua_20l,304,12510,19084
2025-04,agua_500ml,1848,1967,2972
2025-04,agua_2l,1232,3793,5795
2025-04,agua_5l,616,8430,12631
2025-04,agua_20l,308,12645,19318
2025-05,agua_500ml,1872,1988,3008
2025-05,agua_2l,1248,3834,5865
2025-05,agua_5l,624,8520,12784
2025-05,agua_20l,312,12780,19552
2025-06,agua_500ml,1896,2009,3043
2025-06,agua_2l,1264,3874,5935
2025-06,agua_5l,632,8610,12936
2025-06,agua_20l,316,12915,19785
2025-07,agua_500ml,1920,2030,3080
2025-07,agua_2l,1280,3915,6006
2025-07,agua_5l,640,8700,13090
2025-07,agua_20l,320,13050,20020
2025-08,agua_500ml,1944,2051,3115
2025-08,agua_2l,1296,3955,6076
2025-08,agua_5l,648,8790,13242
2025-08,agua_20l,324,13184,20253
2025-09,agua_500ml,1968,2072,3152
2025-09,agua_2l,1312,3996,6146
2025-09,agua_5l,656,8880,13396
2025-09,agua_20l,328,13320,20488
2025-10,agua_500ml,1992,2093,3187
2025-10,agua_2l,1328,4036,6216
2025-10,agua_5l,664,8970,13548
2025-10,agua_20l,332,13455,20722
2025-11,agua_500ml,2016,2114,3224
2025-11,agua_2l,1344,4077,6286
2025-11,agua_5l,672,9060,13702
2025-11,agua_20l,336,13590,20956
2025-12,agua_500ml,2040,2135,3260
2025-12,agua_2l,1360,4117,6357
2025-12,agua_5l,680,9150,13855
2025-12,agua_20l,340,13725,21190
2026-01,agua_500ml,2064,2156,3296
2026-01,agua_2l,1376,4158,6427
2026-01,agua_5l,688,9240,14008
2026-01,agua_20l,344,13860,21424
2026-02,agua_500ml,2088,2177,3332
2026-02,agua_2l,1392,4198,6497
2026-02,agua_5l,696,9330,14161
2026-02,agua_20l,348,13995,21658
2026-03,agua_500ml,2112,2198,3368
2026-03,agua_2l,1408,4239,6567
2026-03,agua_5l,704,9419,14314
2026-03,agua_20l,352,14129,21892
2026-04,agua_500ml,2136,2219,3404
2026-04,agua_2l,1424,4279,6637
2026-04,agua_5l,712,9510,14467
2026-04,agua_20l,356,14265,22126
