fecha,producto,cantidad,precio_costo,precio_venta
2023-01,agua_500ml,370,650,1000
2023-01,agua_2l,448,1320,2000
2023-01,agua_5l,206,3400,5000
2023-01,agua_20l,602,5600,8000
2023-02,agua_500ml,120,660,1013
2023-02,agua_2l,288,1336,2018
2023-02,agua_5l,202,3425,5026
2023-02,agua_20l,571,5646,8051
2023-03,agua_500ml,430,671,1026
2023-03,agua_2l,314,1351,2036
2023-03,agua_5l,187,3450,5051
2023-03,agua_20l,621,5693,8103
2023-04,agua_500ml,251,680,1038
2023-04,agua_2l,459,1367,2054
2023-04,agua_5l,230,3476,5077
2023-04,agua_20l,599,5739,8154
2023-05,agua_500ml,357,691,1051
2023-05,agua_2l,408,1382,2072
2023-05,agua_5l,443,3501,5103
2023-05,agua_20l,649,5786,8205
2023-06,agua_500ml,291,701,1064
2023-06,agua_2l,485,1398,2090
2023-06,agua_5l,376,3526,5128
2023-06,agua_20l,793,5832,8256
2023-07,agua_500ml,121,712,1077
2023-07,agua_2l,413,1414,2108
2023-07,agua_5l,352,3552,5154
2023-07,agua_20l,660,5880,8308
2023-08,agua_500ml,148,722,1090
2023-08,agua_2l,444,1430,2126
2023-08,agua_5l,158,3577,5179
2023-08,agua_20l,735,5926,8359
2023-09,agua_500ml,370,733,1103
2023-09,agua_2l,287,1446,2144
2023-09,agua_5l,289,3603,5205
2023-09,agua_20l,669,5973,8410
2023-10,agua_500ml,463,743,1115
2023-10,agua_2l,150,1462,2162
2023-10,agua_5l,154,3630,5231
2023-10,agua_20l,674,6021,8462
2023-11,agua_500ml,230,753,1128
2023-11,agua_2l,419,1477,2179
2023-11,agua_5l,406,3655,5256
2023-11,agua_20l,743,6068,8513
2023-12,agua_500ml,428,764,1141
2023-12,agua_2l,120,1493,2197
2023-12,agua_5l,266,3681,5282
2023-12,agua_20l,634,6116,8564
2024-01,agua_500ml,188,775,1154
2024-01,agua_2l,487,1510,2215
2024-01,agua_5l,415,3707,5308
2024-01,agua_20l,773,6163,8615
2024-02,agua_500ml,364,786,1167
2024-02,agua_2l,341,1526,2233
2024-02,agua_5l,445,3733,5333
2024-02,agua_20l,513,6211,8667
2024-03,agua_500ml,439,796,1179
2024-03,agua_2l,485,1542,2251
2024-03,agua_5l,191,3760,5359
2024-03,agua_20l,552,6259,8718
2024-04,agua_500ml,305,807,1192
2024-04,agua_2l,134,1559,2269
2024-04,agua_5l,180,3786,5385
2024-04,agua_20l,660,6307,8769
2024-05,agua_500ml,487,818,1205
2024-05,agua_2l,459,1575,2287
2024-05,agua_5l,101,3812,5410
2024-05,agua_20l,549,6356,8821
2024-06,agua_500ml,359,829,1218
2024-06,agua_2l,205,1592,2305
2024-06,agua_5l,409,3839,5436
2024-06,agua_20l,553,6404,8872
2024-07,agua_500ml,143,840,1231
2024-07,agua_2l,317,1608,2323
2024-07,agua_5l,261,3865,5462
2024-07,agua_20l,690,6452,8923
2024-08,agua_500ml,450,851,1244
2024-08,agua_2l,369,1625,2341
2024-08,agua_5l,403,3892,5487
2024-08,agua_20l,701,6500,8974
2024-09,agua_500ml,351,861,1256
2024-09,agua_2l,314,1642,2359
2024-09,agua_5l,289,3918,5513
2024-09,agua_20l,770,6550,9026
2024-10,agua_500ml,307,873,1269
2024-10,agua_2l,312,1658,2377
2024-10,agua_5l,336,3945,5538
2024-10,agua_20l,795,6598,9077
2024-11,agua_500ml,316,884,1282
2024-11,agua_2l,379,1675,2395
2024-11,agua_5l,351,3972,5564
2024-11,agua_20l,552,6647,9128
2024-12,agua_500ml,140,895,1295
2024-12,agua_2l,479,1692,2413
2024-12,agua_5l,256,3999,5590
2024-12,agua_20l,687,6696,9179
